OBJECTID,OBJID,BEGINN,ADE,GF,BSG,ARS,AGS,SDV_ARS,GEN,BEZ,IBZ,BEM,NBD,SN_L,SN_R,SN_K,SN_V1,SN_V2,SN_G,FK_S3,NUTS,ARS_0,AGS_0,WSK,DLM_ID,SHAPE_Length,SHAPE_Area
1,DEBKGVG200000008,2021/12/02 00:00:00+00,6,4,1,010010000000,01001000,010010000000,Flensburg,Stadt,60,kreisfrei,ja,01,0,01,00,00,000,R,DEF01,010010000000,01001000,2008/01/01 00:00:00+00,DEBKGDL20000E5MA,74452.8151116904,147837137.202221
2,DEBKGVG200000009,2021/11/30 00:00:00+00,6,4,1,010020000000,01002000,010020000000,Kiel,Stadt,60,kreisfrei,ja,01,0,02,00,00,000,R,DEF02,010020000000,01002000,2006/01/01 00:00:00+00,DEBKGDL20000004J,178721.531820162,329531482.286343
3,DEBKGVG20000000A,2021/06/24 00:00:00+00,6,4,1,010030000000,01003000,010030000000,Lübeck,Stadt,60,kreisfrei,ja,01,0,03,00,00,000,R,DEF03,010030000000,01003000,2006/02/01 00:00:00+00,DEBKGDL20000DYMA,248173.021464289,607737852.993863
4,DEBKGVG20000000B,2021/08/24 00:00:00+00,6,4,1,010040000000,01004000,010040000000,Neumünster,Stadt,60,kreisfrei,ja,01,0,04,00,00,000,R,DEF04,010040000000,01004000,1970/04/26 00:00:00+00,DEBKGDL20000E4SA,92377.4506855357,207695740.94257
5,DEBKGVG20000000C,2021/11/17 00:00:00+00,6,4,1,010510011011,01051011,010510011011,Brunsbüttel,Stadt,61,--,ja,01,0,51,00,11,011,R,DEF05,010510011011,01051011,2009/01/01 00:00:00+00,DEBKGDL20000E2IK,70466.3164640638,143409869.585446
6,DEBKGVG20000000D,2020/11/17 00:00:00+00,6,4,1,010510044044,01051044,010510044044,Heide,Stadt,61,--,ja,01,0,51,00,44,044,R,DEF05,010510044044,01051044,2009/01/01 00:00:00+00,DEBKGDL20000E0M5,61741.5525058245,92961552.4505066
7,DEBKGVG20000000E,2017/08/02 00:00:00+00,6,4,1,010515163003,01051003,010515163003,Averlak,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,003,R,DEF05,010515163003,01051003,2008/01/01 00:00:00+00,DEBKGDL20000E6BB,25266.6015124442,25990103.2845786
8,DEBKGVG20000000F,2019/03/07 00:00:00+00,6,4,1,010515163010,01051010,010515163010,Brickeln,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,010,R,DEF05,010515163010,01051010,2008/01/01 00:00:00+00,DEBKGDL20000E62A,23250.3765635914,17435848.0645501
9,DEBKGVG20000000G,2021/08/11 00:00:00+00,6,4,1,010515163012,01051012,010515163012,Buchholz,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,012,R,DEF05,010515163012,01051012,2008/01/01 00:00:00+00,DEBKGDL20000E1TU,36033.5492469549,42039794.5556005
10,DEBKGVG20000000H,2020/11/13 00:00:00+00,6,4,1,010515163016,01051016,010515163016,Burg (Dithmarschen),Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,016,R,DEF05,010515163016,01051016,2008/01/01 00:00:00+00,DEBKGDL20000E2BN,29947.1869624886,32827247.8629495
