ags,count,ort,landkreis,bundesland
11000000,583,Berlin,,Berlin
2000000,287,Hamburg,,Hamburg
9162000,222,München,,Bayern
4011000,119,Bremen,,Bremen
5111000,109,Düsseldorf,,Nordrhein-Westfalen
5113000,94,Essen,,Nordrhein-Westfalen
5314000,86,Bonn,,Nordrhein-Westfalen
9564000,83,Nürnberg,,Bayern
5911000,82,Bochum,,Nordrhein-Westfalen
8111000,78,Stuttgart,,Baden-Württemberg
3241001,75,Hannover,Region Hannover,Niedersachsen
5913000,69,Dortmund,,Nordrhein-Westfalen
5711000,66,Bielefeld,,Nordrhein-Westfalen
5112000,65,Duisburg,,Nordrhein-Westfalen
9761000,60,Augsburg,,Bayern
5315000,59,Köln,,Nordrhein-Westfalen
8212000,58,Karlsruhe,,Baden-Württemberg
5515000,48,Münster,,Nordrhein-Westfalen
5513000,48,Gelsenkirchen,,Nordrhein-Westfalen
16051000,47,Erfurt,,Thüringen
1002000,47,Kiel,,Schleswig-Holstein
5334002,46,Aachen,Städteregion Aachen,Nordrhein-Westfalen
13003000,44,Rostock,,Mecklenburg-Vorpommern
5116000,44,Mönchengladbach,,Nordrhein-Westfalen
9663000,40,Würzburg,,Bayern
3101000,39,Braunschweig,,Niedersachsen
9362000,39,Regensburg,,Bayern
6412000,39,Frankfurt am Main,,Hessen
6414000,39,Wiesbaden,,Hessen
12054000,38,Potsdam,,Brandenburg
5114000,38,Krefeld,,Nordrhein-Westfalen
6611000,34,Kassel,,Hessen
8311000,34,Freiburg im Breisgau,,Baden-Württemberg
15003000,34,Magdeburg,,Sachsen-Anhalt
7315000,33,Mainz,,Rheinland-Pfalz
5774032,33,Paderborn,Kreis Paderborn,Nordrhein-Westfalen
5316000,33,Leverkusen,,Nordrhein-Westfalen
8222000,30,Mannheim,,Baden-Württemberg
5119000,29,Oberhausen,,Nordrhein-Westfalen
8231000,29,Pforzheim,,Baden-Württemberg
10041100,28,Saarbrücken,Regionalverband Saarbrücken,Saarland
3159016,27,Göttingen,Landkreis Göttingen,Niedersachsen
9562000,26,Erlangen,,Bayern
3403000,26,Oldenburg,,Niedersachsen
7111000,25,Koblenz,,Rheinland-Pfalz
8221000,25,Heidelberg,,Baden-Württemberg
5162024,25,Neuss,Rhein-Kreis Neuss,Nordrhein-Westfalen
5562032,25,Recklinghausen,Kreis Recklinghausen,Nordrhein-Westfalen
8415061,25,Reutlingen,Landkreis Reutlingen,Baden-Württemberg
5916000,25,Herne,,Nordrhein-Westfalen
9261000,24,Landshut,,Bayern
6411000,24,Darmstadt,,Hessen
1004000,23,Neumünster,,Schleswig-Holstein
7312000,22,Kaiserslautern,,Rheinland-Pfalz
9161000,22,Ingolstadt,,Bayern
5117000,21,Mülheim an der Ruhr,,Nordrhein-Westfalen
6531005,21,Gießen,Landkreis Gießen,Hessen
9563000,21,Fürth,,Bayern
9263000,20,Straubing,,Bayern
5754008,20,Gütersloh,Kreis Gütersloh,Nordrhein-Westfalen
8121000,20,Heilbronn,,Baden-Württemberg
